Unnamed: 0,认购日期,产品起息日,产品到息日,产品期限,认购金额(万元),产品发行方名称,理财产品名称,sample_id,实际购买公司名称,理财类型,资金来源,实际购买公司和上市公司关系,买卖方是否有关联关系
36,,,,92天,59000,浦发银行,国开2018149号封闭式保本型人民币理财产品,11284,中广核核技术发展股份有限公司,银行理财产品,自有资金,公司本身,否
37,,,,nan天,32800,上海浦东发展银行股份有限公司,浦发银行利多多对公结构性存款固定持有期JG902期,11284,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
38,,,,nan天,39800,招商银行股份有限公司,招商银行结构性存款,11285,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
39,,,,91天,60000,浦发银行,国开2017684号封闭式保本型人民币理财产品,11285,中广核核技术发展股份有限公司,银行理财产品,自有资金,公司本身,否
40,,,,nan天,32500,上海浦东发展银行股份有限公司,浦发银行利多多对公结构性存款固定持有期JG902期,11285,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
41,,,,nan天,20000,中国工商银行,中国工商银行保本“随心E”二号法人拓户理财产品,11285,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
42,,,,nan天,14500,中国工商银行,中国工商银行保本“随心E”二号法人拓户理财产品,11285,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
43,,,,nan天,39000,招商银行股份有限公司,招商银行结构性存款,11286,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
44,,,,91天,60000,,国开2017433号封闭式保本型人民币理财产品,11286,中广核核技术发展股份有限公司,银行理财产品,自有资金,公司本身,否
45,,,,nan天,5000,中国工商银行股份有限公司,中国工商银行保本型“随心E”法人人民币理财产品,11287,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
46,,,,nan天,9500,中国工商银行股份有限公司,中国工商银行保本“随心E”二号法人拓户理财产品,11287,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
47,,,,nan天,24850,中国工商银行股份有限公司,中国工商银行保本“随心E”二号法人拓户理财产品,11287,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
48,,,,nan天,38800,招商银行股份有限公司,招商银行结构性存款,11287,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
49,,,,nan天,64000,国家开发银行股份有限公司,国开2017196号封闭式保本型人民币理财产品,11287,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
50,,,,nan天,,招商银行,招商银行结构性存款CHZ00738产品(以下简称“招商产品”),11288,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
51,,,,nan天,,兴业银行,兴业银行企业金融结构性存款产品(以下简称“兴业产品”),11289,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
52,,,,,,浙江稠州商业银行杭州余杭支行,稠州银行“如意宝”RY190040期机构理财产品(以下简称“稠州产品”),11290,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
53,,,,nan天,,农业银行,农业银行“汇利丰”2019年第4356期对公定制人民币结构,11291,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
54,,,,nan天,,南京银行,南京银行利结构性存款(以下简称“南京产品”),11294,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
55,,,,nan天,,农商银行,农商银行“丰收·丰叶A”2018年第171期,11295,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
56,,,,nan天,,农商银行,兴业银行企业金融结构性存款产品HZYH20180001012(以下,11295,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
57,,,,nan天,,农商银行,农商银行“丰收·丰叶A”2018年第150期HZYHFSFY2018A150,11297,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
58,,,,nan天,,上海银行,上海银行“稳进”2号结构性存款产品SD21801Y059SA(以,11298,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
59,,,,nan天,,江苏银行,江苏银行对公客户人民币结构性存款苏银杭结构【2018】126,11299,杭州老板电器股份有限公司,结构性存款,自有资金,控股参股公司,否
60,,,,nan天,,浦发银行,浦发银行利多多公司18JG1413期人民币对公结构性存款(以,11300,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
61,,,,nan天,,浦发银行,农业银行“汇利丰”2018年第5189期对公定制人民币结构,11300,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
62,,,,nan天,,农业银行,农业银行“汇利丰”2018号第5099期对公定制人民币结构,11301,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
63,,,,nan天,,农业银行,南京银行结构性存款(以下简称“南京产品”),11301,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
64,,,,nan天,,上海银行,上海银行“稳进”2号结构性存款产品SD21806M067SA(以,11302,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
65,,,,nan天,,兴业银行,兴业银行企业金融结构性存款产品(以下简称“兴业产品”),11302,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
66,,,,nan天,,上海银行,平安银行对公结构性存款2018年1878期人民币产品(以下,11302,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
67,,,,nan天,,工商银行,工银理财浙江共赢3号法人人民币理财产品2018年第35期,11304,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
68,,,,nan天,,交通银行,交通银行“蕴通财富?日增利180天”人民币理财产品(以下,11307,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
69,,,,nan天,,招商银行点金公司,招商银行点金公司理财之人民币岁月流金85095号理财计划,11308,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
70,,,,nan天,,兴业银行,兴业银行企业金融结构性存款产品(以下简称“兴业产品”),11308,杭州老板电器股份有限公司,结构性存款,自筹资金,公司本身,否
71,,,,nan天,,招商银行,上海银行“稳进”2号结构性存款产品(以下简称“上海产品”),11308,杭州老板电器股份有限公司,结构性存款,自筹资金,公司本身,否
72,,,,nan天,,农商银行,农商银行“丰收?本嘉利”2018年第二期人民币理财产品,11310,杭州老板电器股份有限公司,银行理财产品,自有资金,控股参股公司,否
73,,,,nan天,,中信银行,中信理财之共赢利率结构17995期人民币结构性理财产品,11311,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
74,,,,nan天,,农业银行,农业银行“本利丰”定向人民币理财产品(以下简称“该产品”),11312,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
75,,,,nan天,,上海银行,上海银行“稳进”2号第SD21706M056A期结构性存款产品,11313,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
76,,,,nan天,,上海银行,农商银行“丰收?本嘉利”2017年第九期人民币理财产品(以,11313,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
77,,,,nan天,,兴业银行,兴业银行“金雪球”2017年第21期保本浮动收益封闭式人,11314,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
78,,,,nan天,,邮储银行,邮储银行邮银财智·盛盈2017年第134期(浙江吉林)人民,11314,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
79,,,,nan天,,中国邮政储蓄银行,中国邮政储蓄银行邮银财智?盛盈2017年第73期(保本)人,11316,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
80,,,,nan天,,中信银行股份有限公司,中信理财之共赢利率结构17478期人民币结构性理财产品,11316,杭州老板电器股份有限公司,银行理财产品,自有资金,公司本身,否
81,,,,nan天,,平安银行股份有限公司,平安银行对公结构性存款(挂钩利率)2017年0436期人民,11317,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
82,,,,nan天,,上海银行,上海银行“稳进”2号第SD21701Y021A期结构性存款产品,11318,杭州老板电器股份有限公司,结构性存款,自有资金,公司本身,否
83,,,,nan天,,中信银行股份有限公司杭州余杭支行,,11346,万通智控科技股份有限公司,银行理财产品,自有资金,公司本身,否
84,,,,nan天,,,中信理财之共赢利率结构19012期人民币结构性理财产品,11346,万通智控科技股份有限公司,银行理财产品,自有资金,公司本身,否
85,2018-04-28,2018-04-28,,,4000,兴业银行股份有限公司,企业金融结构性存款(以下简称“该产品”),11363,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
86,2018-05-22,2018-05-22,,,12000,交通银行股份有限公司,交通银行蕴通财富活期结构性存款S款(以下简称“该产品”),11364,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
87,2018-06-15,2018-06-15,,,14000,交通银行股份有限公司,交通银行蕴通财富结构性存款180天,11365,西藏奇正藏药股份有限公司,结构性存款,自筹资金,公司本身,否
88,2018-12-26,2018-12-26,,,4000,交通银行股份有限公司,交通银行蕴通财富结构性存款89天,11365,西藏奇正藏药股份有限公司,结构性存款,自筹资金,控股参股公司,否
89,,,,nan天,9000,恒天中岩投资管理有限公司,恒天稳金38号投资基金(以下简称“该基金”),11366,西藏奇正藏药股份有限公司,基金专户,自有资金,公司本身,否
90,,,,3年,9000,中融国际信托有限公司,中融-稳健收益1号集合资金信托计划(以下简称“该信托计划”),11366,西藏奇正藏药股份有限公司,信托,自有资金,公司本身,否
91,,,,nan天,40003000,上海浦东发展银行股份有限公司兰州分行,上海浦东发展银行利多多公司18JG1253期人民币对公结构性,11367,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
92,2012-06-28,2012-06-28,,,4000,交通银行股份有限公司,“蕴通财富·日增利”S款(以下简称“该产品”),11368,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
93,2018-04-28,2018-04-28,,,2900014000,兴业银行股份有限公司兰州分行,企业金融结构性存款(以下简称“该产品”),11369,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
94,,,,nan天,17500,交通银行股份有限公司,蕴通财富·日增利169天(以下简称“该产品”),11370,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
95,2012-06-28,2012-06-28,,,10000,交通银行股份有限公司兰州庆阳路支行,“蕴通财富·日增利”S款(以下简称“该产品”),11371,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
96,,,,nan天,40003000,交通银行股份有限公司兰州庆阳路支行,蕴通财富·日增利124天(以下简称“该产品”),11372,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
97,,,,nan天,500,上海浦东发展银行,上海浦东发展银行利多多对公结构性存款固定持有期JG903,11373,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
98,2018-01-05,2018-01-05,,,17500,交通银行股份有限公司,蕴通财富·日增利63天(以下简称“该产品”),11374,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
99,,,,nan天,8000,甘肃奇正与浦发银行,上海浦东发展银行利多多对公结构性存款2018年JG197期(以,11375,西藏奇正藏药股份有限公司,结构性存款,自有资金,控股参股公司,否
100,2018-01-05,2018-01-05,,,3000,交通银行股份有限公司,蕴通财富·日增利63天(以下简称“该产品”),11376,西藏奇正藏药股份有限公司,银行理财产品,自有资金,控股参股公司,否
101,,,,20天,3360018000,交通银行股份有限公司兰州庆阳路支行,蕴通财富·日增利120天(以下简称“该产品”),11377,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
102,,,,7天,8000,厦门国际银行股份有限公司北京朝阳支行,赢庆系列代客理财产品2017268期(以下简称“该产品”),11378,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
103,,,,nan天,3000,兰州银行股份有限公司东岗支行,兰州银行“百合理财”共赢系列2116号对公理财产品(以下,11379,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
104,,,,nan天,500,中国工商银行股份有限公司西藏自治区分行,中国工商银行保本型法人91天稳利人民币理财产品(以下简,11380,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
105,2017-09-11,2017-09-11,,,11000,厦门国际银行股份有限公司北京分行,人民币“步步为赢”结构性存款171438期(以下简称“该产品”),11381,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
106,,,,nan天,600,上海浦东发展银行股份有限公司兰州分行,上海浦东发展银行利多多对公结构性存款固定持有期JG902,11382,西藏奇正藏药股份有限公司,结构性存款,自有资金,控股参股公司,否
107,2017-07-31,2017-07-31,,,8500,厦门国际银行股份有限公司北京分行,人民币“步步为赢”结构性存款171112期(以下简称“该产品”),11383,西藏奇正藏药股份有限公司,结构性存款,自有资金,控股参股公司,否
108,,,,nan天,5000,兰州银行股份有限公司,兰州银行“百合理财”共赢系列2029号对公理财产品(以下,11384,西藏奇正藏药股份有限公司,银行理财产品,自有资金,控股参股公司,否
109,,,,nan天,11700,上海浦东发展银行股份有限公司兰州分行,上海浦东发展银行利多多对公结构性存款2017年JG0884期(以,11385,西藏奇正藏药股份有限公司,结构性存款,自有资金,控股参股公司,否
110,,,,nan天,6000,西藏宇妥与浦发银行,上海浦东发展银行利多多对公结构性存款2017年JG0827期(以,11386,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
111,,,,nan天,9100,上海浦东发展银行股份有限公司兰州分行,上海浦东发展银行利多多对公结构性存款固定持有期JG903,11387,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
112,,,,nan天,16000,上海浦东发展银行股份有限公司兰州分行,上海浦东发展银行利多多对公结构性存款固定持有期JG901,11388,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
113,,,,,11000,甘肃银行股份有限公司,“汇福”2016年第79期对公理财产品(以下简称“本产品”),11389,西藏奇正藏药股份有限公司,银行理财产品,自有资金,控股参股公司,否
114,,,,nan天,9000,上海浦东发展银行股份有限公司兰州分行,上海浦东发展银行利多多对公结构性存款固定持有期JG903,11390,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
115,,,,nan天,9000,上海浦东发展银行股份有限公司兰州分行,上海浦东发展银行利多多对公结构性存款2016年JG732期(以,11391,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
116,,,,,11000,甘肃银行股份有限公司,“汇福”2016年第44期对公理财产品(以下简称“本产品”),11392,西藏奇正藏药股份有限公司,银行理财产品,自有资金,公司本身,否
117,,,,nan天,9000,上海浦东发展银行股份有限公司兰州分行,上海浦东发展银行利多多对公结构性存款2016年JG490期(以,11393,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
118,2016-01-14,2016-01-14,,,6000,厦门国际银行股份有限公司北京分行,人民币“利利共赢”结构性存款152242期(以下简称“产品”),11395,西藏奇正藏药股份有限公司,结构性存款,自有资金,公司本身,否
119,,,,1天,2500,兴业银行深圳分行,结构性存款产品,11398,浙江方正电机股份有限公司,结构性存款,"自筹资金,自有资金",公司本身,否
120,,,,1天,1000,兴业银行深圳分行,结构性存款产品,11398,浙江方正电机股份有限公司,结构性存款,"自筹资金,自有资金",公司本身,否
121,2019-03-26,2019-03-26,,,2000,中信银行,共赢利率结构25328期人民币结构性存款产品,11399,浙江方正电机股份有限公司,结构性存款,自筹资金,公司本身,否
122,,,,nan天,1500,中国农业银行股份有限公司,中国农业银行“本利丰·90天”人民币理财产品,11400,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
123,,,,19天,150,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11402,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
124,,,,,2000,中国银行丽水市分行,“丰收·曙光”2017年第7期人民币理财产品,11403,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
125,,,,19天,500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11403,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
126,,,,19天,500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11403,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
127,,,,19天,1500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11404,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
128,,,,19天,1500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11405,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
129,,,,,1300,中国银行丽水市分行,人民币全球智选理财产品(产品代码CNYQQZX2016453),11406,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
130,,,,,1300,中国银行,人民币全球智选理财产品(产品代码CNYQQZX2016462),11406,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
131,,,,,1800,浙江温岭农村商业银行股份有限公司,“丰收·曙光”2016年第46期人民币理财产品,11407,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
132,,,,19天,3000,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11408,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
133,,,,19天,500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11409,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
134,,,,19天,250,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11410,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
135,,,,,1800,浙江温岭农村商业银行股份有限公司,“丰收·曙光”2016年第41期人民币理财产品,11411,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
136,,,,19天,500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11412,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
137,,,,19天,300,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11413,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
138,,,,19天,500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11413,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
139,,,,,1000,浙江温岭农村商业银行股份有限公司,“丰收·曙光”2016年第35期人民币理财产品,11414,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
140,,,,19天,500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11414,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
141,,,,,1000,浙江温岭农村商业银行股份有限公司,“丰收·曙光”2016年第35期人民币理财产品,11415,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
142,,,,nan天,1000,中信银行,中信理财之共赢保本1641期人民币理财产品,11416,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
143,,,,19天,300,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11417,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
144,,,,,2500,浙江温岭农村商业银行股份有限公司,“丰收·曙光”2016年第27期人民币理财产品,11418,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
145,,,,nan天,3000,中信证券,中信证券股份有限公司2016年度第39期收益凭证产品(产品编码为ZJ16039),11419,浙江方正电机股份有限公司,证券公司理财产品,自筹资金,公司本身,否
146,,,,19天,300,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11420,浙江方正电机股份有限公司,银行理财产品,"自筹资金,自有资金",公司本身,否
147,,,,19天,300,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11421,浙江方正电机股份有限公司,银行理财产品,"自筹资金,自有资金",公司本身,否
148,2016-05-17,2016-05-17,,,1500,中信银行,中信理财之智赢系列(对公)16453期人民币结构性理财产品,11422,浙江方正电机股份有限公司,银行理财产品,"自筹资金,自有资金",公司本身,否
149,2016-05-11,2016-05-11,,,300,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP1),11423,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
150,,,,19天,500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11424,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
151,,,,19天,500,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11425,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
152,,,,19天,300,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11425,浙江方正电机股份有限公司,银行理财产品,自筹资金,公司本身,否
153,2016-04-13,2016-04-13,,,2000,中信银行丽水分行,中信理财之智赢系列(对公)16325期人民币结构性理财产品,11425,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
154,2016-04-13,2016-04-13,,,1000,中信银行,中信理财之智赢系列(对公)16326期人民币结构性理财产品,11425,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
155,2016-02-23,2016-02-23,,,1000,中信银行,中信理财之智赢系列(对公)16182期人民币结构性理财产品,11426,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
156,,,,19天,650,中国银行,人民币“按期开放”产品(产品代码CNYAQKFTP0),11427,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
157,2016-01-15,2016-01-15,,,2000,中信银行,中信理财之智赢系列(对公)1642期人民币结构性理财产品,11428,浙江方正电机股份有限公司,银行理财产品,自筹资金,控股参股公司,否
158,,,,nan天,5000,中信银行,共赢利率结构25724期人民币结构性存款产品,11490,河南恒星科技股份有限公司,结构性存款,自筹资金,控股参股公司,否
159,,,,,20000,交通银行股份有限公司北京市分行,交通银行蕴通财富活期结构性存款S款,11491,河南恒星科技股份有限公司,结构性存款,自筹资金,公司本身,否
160,,,,,2500,兴业银行股份有限公司,企业金融结构性存款,11491,河南恒星科技股份有限公司,结构性存款,自筹资金,控股参股公司,否
161,,,,,100100,兴业银行股份有限公司,企业金融结构性存款,11494,河南恒星科技股份有限公司,结构性存款,自有资金,控股参股公司,否
162,,,,nan天,5000,中信银行,共赢利率结构23714期人民币结构性存款产品,11494,河南恒星科技股份有限公司,结构性存款,自有资金,公司本身,否
163,,,,1天,100100,兴业银行,企业金融结构性存款(开放型),11495,河南恒星科技股份有限公司,结构性存款,自筹资金,公司本身,否
164,,,,,23000,交通银行股份有限公司北京市分行,交通银行蕴通财富活期结构性存款S款,11496,河南恒星科技股份有限公司,结构性存款,自筹资金,控股参股公司,否
